﻿지하철역ID,지하철호선ID,지하철역명,지하철영문명,이전지하철역ID,다음지하철역ID,우편번호,기본주소,상세주소,전화번호,팩스번호,플랫폼구분,하차문구분,내부횡단여부,화장실내외부,환승호선수,운영기관,장애인시설설치여부,환승주차장설치여부,자전거보관소설치여부,지하철역X좌표,지하철역Y좌표,토피스역ID,연계역번호,지하철역코드,지하철노선이미지상단X좌표,지하철노선이미지상단Y좌표,급행정차여부(0:미정차/1:상행정차/2:하행정차/3:양방향정차)
﻿1067080135,﻿1067,﻿굴봉산,﻿Gulbongsan,﻿1067080134,﻿1067080136,﻿200914,﻿강원도 춘천시 남산면 서백길 192,﻿,﻿033-255-2696,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿249086.6,﻿481494.9,﻿,﻿P135,﻿101,﻿2210,﻿249,﻿0
﻿1067080136,﻿1067,﻿백양리,﻿Baegyang-ri,﻿1067080135,﻿1067080137,﻿200912,﻿강원도 춘천시 남산면 북한강변길 690,﻿,﻿033-262-8827,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿251876.2,﻿481380.8,﻿,﻿P136,﻿102,﻿2187,﻿210,﻿0
﻿1067080137,﻿1067,﻿강촌,﻿Gangchon,﻿1067080136,﻿1067080138,﻿200911,﻿강원도 춘천시 남산면 강촌로 34,﻿,﻿033-261-7897,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿255845.7,﻿478619.1,﻿,﻿P137,﻿103,﻿2135,﻿210,﻿0
﻿1067080138,﻿1067,﻿김유정,﻿Gimyujeong,﻿1067080137,﻿1067080139,﻿200812,﻿강원도 춘천시 신동면 김유정로 1435,﻿,﻿033-261-7780,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿262882.8,﻿480081.0,﻿,﻿P138,﻿104,﻿2084,﻿210,﻿0
﻿1067080139,﻿1067,﻿남춘천,﻿Namchuncheon,﻿1067080138,﻿1067080140,﻿200944,﻿강원도 춘천시 영서로 2260,﻿,﻿033-257-7022,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿263686.7,﻿485156.5,﻿,﻿P139,﻿105,﻿2032,﻿210,﻿0
﻿1067080140,﻿1067,﻿춘천,﻿Chuncheon,﻿1067080139,﻿1067080140,﻿200930,﻿강원도 춘천시 평화로1,﻿,﻿033-241-7758,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿263070.8,﻿487492.2,﻿,﻿P140,﻿106,﻿1980,﻿210,﻿0
﻿1069073110,﻿1069,﻿계양,﻿Gyeyang,﻿1069073110,﻿1069073111,﻿407350,﻿인천광역시 계양구 다남로 24,﻿,﻿032-710-9105,﻿,﻿,﻿,﻿,﻿,﻿2,﻿,﻿,﻿,﻿,﻿176718.9,﻿452476.1,﻿,﻿I110,﻿5101,﻿326,﻿832,﻿0
﻿1069073111,﻿1069,﻿귤현,﻿Gyulhyeon,﻿1069073110,﻿1069073112,﻿407350,﻿인천광역시 계양구 장제로 1136,﻿,﻿032-515-9104,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿177267.8,﻿451893.2,﻿,﻿I111,﻿5102,﻿326,﻿903,﻿0
﻿1069073112,﻿1069,﻿박촌,﻿Bakchon,﻿1069073111,﻿1069073113,﻿407330,﻿인천광역시 계양구 장제로 지하992,﻿,﻿032-519-3112,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿177471.8,﻿450490.3,﻿,﻿I112,﻿5103,﻿326,﻿951,﻿0
﻿1069073113,﻿1069,﻿임학,﻿Imhak,﻿1069073112,﻿1069073114,﻿407814,﻿인천광역시 계양구 장제로 지하875,﻿,﻿032-541-3113,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿176902.9,﻿449534.5,﻿,﻿I113,﻿5104,﻿326,﻿999,﻿0
﻿1069073114,﻿1069,﻿계산,﻿Gyesan,﻿1069073113,﻿1069073115,﻿407809,﻿인천광역시 계양구 경명대로 지하1089,﻿,﻿032-546-3151,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿175940.0,﻿449349.4,﻿,﻿I114,﻿5105,﻿326,﻿1047,﻿0
﻿1063075319,﻿1063,﻿강매,﻿Gangmae,﻿1063075320,﻿1063075318,﻿412220,﻿경기도 고양시 덕양구 소원로 202,﻿,﻿1544-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿186216.5,﻿456976.1,﻿,﻿K319,﻿221,﻿808,﻿599,﻿0
﻿1065006501,﻿1065,﻿서울,﻿Seoul Station,﻿1065006501,﻿1065006502,﻿140170,﻿서울특별시 용산구 동자동,﻿14,﻿02-752-4251,﻿,﻿,﻿,﻿,﻿,﻿4,﻿공항철도,﻿,﻿,﻿,﻿197313.8378,﻿450432.7797,﻿291113,﻿A01,﻿10,﻿1217,﻿860,﻿0
﻿1065006502,﻿1065,﻿공덕,﻿Gongdeok,﻿1065006501,﻿1065006503,﻿121040,﻿서울 마포구 도화동,﻿25-13,﻿02-6311-5291,﻿,﻿,﻿,﻿,﻿,﻿4,﻿공항철도,﻿,﻿,﻿,﻿195824.3,﻿449236.4,﻿291141,﻿A02,﻿20,﻿1147,﻿920,﻿0
﻿1065006503,﻿1065,﻿홍대입구,﻿Hongik Univ.,﻿1065006502,﻿1065006504,﻿121200,﻿서울특별시 마포구 동교동,﻿165,﻿02-3780-5331,﻿,﻿,﻿,﻿,﻿,﻿3,﻿공항철도,﻿,﻿,﻿,﻿193520.2917,﻿450917.89,﻿291109,﻿A03,﻿30,﻿1004,﻿864,﻿0
﻿1065006504,﻿1065,﻿디지털미디어시티,﻿Digital Media city,﻿1065006503,﻿1065065042,﻿122100,﻿서울특별시 은평구 증산동,﻿223-27,﻿02-305-1030,﻿,﻿,﻿,﻿,﻿,﻿3,﻿공항철도,﻿,﻿,﻿,﻿191147.1605,﻿453125.8651,﻿291070,﻿A04,﻿40,﻿903,﻿689,﻿0
﻿1065006505,﻿1065,﻿김포공항,﻿Gimpo int`l Airportice Station,﻿1065065042,﻿1065006506,﻿157220,﻿서울 강서구 방화동,﻿738,﻿02-2656-0902,﻿,﻿,﻿,﻿,﻿,﻿3,﻿공항철도,﻿,﻿,﻿,﻿182524.5,﻿451427.1,﻿291097,﻿A05,﻿50,﻿405,﻿755,﻿0
﻿1065006506,﻿1065,﻿계양,﻿Gyeyang Station,﻿1065006505,﻿1065006507,﻿407350,﻿인천광역시 계양구 귤현동,﻿451-267,﻿032-745-7450,﻿,﻿,﻿,﻿,﻿,﻿2,﻿공항철도,﻿,﻿,﻿,﻿176764.4507,﻿452501.689,﻿291317,﻿A06,﻿60,﻿325,﻿833,﻿0
﻿1065006507,﻿1065,﻿검암,﻿Geomam Station,﻿1065006506,﻿1065065071,﻿404160,﻿인천광역시 서구 검암동,﻿414-204,﻿032-745-7460,﻿,﻿,﻿,﻿,﻿,﻿1,﻿공항철도,﻿,﻿,﻿,﻿171157.002,﻿452224.3208,﻿,﻿A07,﻿70,﻿120,﻿940,﻿0
﻿1065065071,﻿1065,﻿청라국제도시,﻿Cheongra International City Station,﻿1065006507,﻿1065065072,﻿404170,﻿인천광역시 서구 경서동 519,﻿404-170,﻿032-745-7560,﻿,﻿,﻿,﻿,﻿,﻿1,﻿공항철도,﻿,﻿,﻿,﻿166813.0,﻿450831.5,﻿,﻿A071,﻿75,﻿120,﻿982,﻿0
﻿1065006509,﻿1065,﻿공항화물청사,﻿Airport Cargo building Station,﻿1065006508,﻿1065006510,﻿400340,﻿인천광역시 중구 운서동,﻿2164,﻿032-745-7480,﻿,﻿,﻿,﻿,﻿,﻿1,﻿공항철도,﻿,﻿,﻿,﻿153762.3962,﻿440097.0217,﻿,﻿A09,﻿90,﻿120,﻿1094,﻿0
﻿1065006510,﻿1065,﻿인천공항1터미널,﻿Incheon International Airport Station,﻿1065006509,﻿1065006510,﻿400340,﻿인천광역시 중구 운서동,﻿2851,﻿032-745-7490,﻿,﻿,﻿,﻿,﻿,﻿1,﻿공항철도,﻿,﻿,﻿,﻿151530.3543,﻿438833.6898,﻿,﻿A10,﻿100,﻿120,﻿1142,﻿0
﻿1065006511,﻿1065,﻿인천공항2터미널,﻿Incheon International Airport Station,﻿1065006510,﻿1065006511,﻿000000,﻿인천광역시 중구 운서동,﻿2851,﻿00-0000-0000,﻿,﻿,﻿,﻿,﻿,﻿0,﻿공항철도,﻿,﻿,﻿,﻿149885.0759,﻿441219.6985,﻿,﻿6511,﻿110,﻿60,﻿1202,﻿0
﻿1071075250,﻿1071,﻿오이도,﻿Oido,﻿1071075250,﻿1071075251,﻿429845,﻿경기도 시흥시 역전로 430,﻿,﻿031-319-7788,﻿,﻿,﻿,﻿,﻿,﻿2,﻿철도청구간,﻿,﻿,﻿,﻿176858.8,﻿429299.0,﻿,﻿K250,﻿53,﻿643,﻿1962,﻿0
﻿1071075251,﻿1071,﻿달월,﻿Dalwol,﻿1071075250,﻿1071075252,﻿429833,﻿경기 시흥시 월곶동 689,﻿,﻿1544-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿177459.0,﻿431225.6,﻿,﻿K251,﻿153,﻿645,﻿1916,﻿0
﻿1071075252,﻿1071,﻿월곶,﻿Wolgot,﻿1071075251,﻿1071075253,﻿429834,﻿경기도 시흥시 월곶중앙로14번길 56,﻿,﻿031-8077-5512,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿177219.7,﻿432534.7,﻿,﻿K252,﻿154,﻿645,﻿1874,﻿0
﻿1063075331,﻿1063,﻿금촌,﻿Geumchon,﻿1063075333,﻿1063075330,﻿413801,﻿경기도 파주시 새꽃로 193,﻿,﻿031-946-0788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿180133.2,﻿474071.4,﻿,﻿K331,﻿231,﻿344,﻿343,﻿3
﻿1063075330,﻿1063,﻿금릉,﻿Geumneung,﻿1063075331,﻿1063075329,﻿413819,﻿경기도 파주시 금릉역로 85,﻿,﻿031-948-4788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿179319.3,﻿472425.6,﻿,﻿K330,﻿230,﻿344,﻿386,﻿1
﻿1063075329,﻿1063,﻿운정,﻿Unjeong,﻿1063075330,﻿1063075328,﻿413200,﻿경기도 파주시 운정역길 368,﻿,﻿031-948-1877,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿179475.3,﻿469567.9,﻿,﻿K329,﻿229,﻿381,﻿414,﻿2
﻿1063075327,﻿1063,﻿탄현,﻿Tanhyeun,﻿1063075328,﻿1063075326,﻿411808,﻿경기도 고양시 일산서구 경의로 848,﻿,﻿031-960-3355,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿178932.5,﻿466064.4,﻿,﻿K327,﻿227,﻿479,﻿414,﻿1
﻿1063075326,﻿1063,﻿일산,﻿Ilsan,﻿1063075327,﻿1063075325,﻿411875,﻿경기도 고양시 일산서구 경의로 672,﻿,﻿031-976-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿179710.4,﻿464735.6,﻿,﻿K326,﻿226,﻿527,﻿414,﻿3
﻿1063075325,﻿1063,﻿풍산,﻿Pungsan,﻿1063075326,﻿1063075324,﻿410842,﻿경기도 고양시 일산동구 경의로 486,﻿,﻿031-960-3467,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿181147.2,﻿463652.7,﻿,﻿K325,﻿225,﻿576,﻿414,﻿0
﻿1063075324,﻿1063,﻿백마,﻿Baengma,﻿1063075325,﻿1063075323,﻿410814,﻿경기도 고양시 일산동구 경의로 318,﻿,﻿031-901-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿181880.1,﻿462072.8,﻿,﻿K324,﻿224,﻿636,﻿436,﻿3
﻿1063075323,﻿1063,﻿곡산,﻿Goksan,﻿1063075324,﻿1063075322,﻿410360,﻿경기도 고양시 일산동구 경의로 160,﻿,﻿031-907-5155,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿182513.0,﻿460698.0,﻿,﻿K323,﻿223,﻿663,﻿460,﻿0
﻿1063075322,﻿1063,﻿대곡,﻿Daegok,﻿1063075323,﻿1063075321,﻿412250,﻿경기도 고양시 덕양구 대주로 107번길 71-81,﻿,﻿031-965-8516,﻿,﻿,﻿,﻿,﻿,﻿2,﻿철도청구간,﻿,﻿,﻿,﻿183219.9,﻿459165.1,﻿,﻿K322,﻿147,﻿698,﻿494,﻿3
﻿1063075321,﻿1063,﻿능곡,﻿Neunggok,﻿1063075322,﻿1063075320,﻿412819,﻿경기도 고양시 덕양구 토당로 35,﻿,﻿031-974-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿184145.8,﻿457735.2,﻿,﻿K321,﻿222,﻿738,﻿532,﻿0
﻿1063075320,﻿1063,﻿행신,﻿Haengsin,﻿1063075321,﻿1063075319,﻿412220,﻿경기도 고양시 덕양구 소원로 102,﻿,﻿02-979-0263,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿185365.7,﻿456963.4,﻿,﻿K320,﻿220,﻿777,﻿569,﻿3
﻿1063075318,﻿1063,﻿한국항공대,﻿Korea Aerospace Univ,﻿1063075319,﻿1063075317,﻿412160,﻿경기도 고양시 덕양구 화랑로 53,﻿,﻿02-300-5241,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿188370.2,﻿455950.5,﻿,﻿K318,﻿219,﻿841,﻿629,﻿0
﻿1063075317,﻿1063,﻿수색,﻿Susaek,﻿1063075318,﻿1063075316,﻿122873,﻿서울특별시 은평구 수색로 261-1,﻿,﻿02-300-5277,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿190785.0,﻿453490.8,﻿,﻿K317,﻿218,﻿872,﻿659,﻿0
﻿1063075316,﻿1063,﻿디지털미디어시티,﻿Digital Media City,﻿1063075317,﻿1063075315,﻿122873,﻿서울특별시 은평구 수색로 193,﻿,﻿032-745-7430,﻿,﻿,﻿,﻿,﻿,﻿3,﻿철도청구간,﻿,﻿,﻿,﻿191225.9,﻿453110.7,﻿,﻿K316,﻿217,﻿903,﻿689,﻿3
﻿1063075315,﻿1063,﻿가좌,﻿Gajwa,﻿1063075316,﻿1063075314,﻿120805,﻿서울특별시 서대문구 수색로 27,﻿,﻿02-373-1280,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿192472.7,﻿452137.9,﻿,﻿K315,﻿216,﻿961,﻿750,﻿0
﻿1063075314,﻿1063,﻿홍대입구,﻿Hongik.Univ,﻿1063075315,﻿1063075313,﻿121899,﻿서울특별시 마포구 양화로 지하188,﻿,﻿032-745-7420,﻿,﻿,﻿,﻿,﻿,﻿3,﻿철도청구간,﻿,﻿,﻿,﻿193560.6,﻿450889.1,﻿,﻿K314,﻿239,﻿1004,﻿864,﻿1
﻿1063075313,﻿1063,﻿서강대,﻿Seogang University,﻿1063075314,﻿1063075312,﻿121807,﻿서울특별시 마포구 서강로 지하118,﻿,﻿1544-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿194295.6,﻿450302.1,﻿,﻿K313,﻿238,﻿1087,﻿873,﻿0
﻿1063075312,﻿1063,﻿공덕,﻿Gongdeok,﻿1063075313,﻿1063075826,﻿121812,﻿서울특별시 마포구 마포대로 지하92,﻿,﻿02-392-7788,﻿,﻿,﻿,﻿,﻿,﻿4,﻿철도청구간,﻿,﻿,﻿,﻿195807.3,﻿449230.2,﻿,﻿K312,﻿237,﻿1147,﻿920,﻿1
﻿1063075110,﻿1063,﻿용산,﻿Yongsan,﻿1063075826,﻿1063075111,﻿140780,﻿서울특별시 용산구 한강대로23길 55,﻿,﻿02-3780-5408,﻿,﻿,﻿,﻿,﻿,﻿2,﻿철도청구간,﻿,﻿,﻿,﻿196887.1,﻿447782.9,﻿,﻿K110,﻿1,﻿1217,﻿1020,﻿3
﻿1063075111,﻿1063,﻿이촌,﻿Ichon,﻿1063075110,﻿1063075112,﻿140030,﻿서울특별시 용산구 이촌로71길 42,﻿,﻿02-798-3071,﻿,﻿,﻿,﻿,﻿,﻿2,﻿철도청구간,﻿,﻿,﻿,﻿197661.1,﻿446993.1,﻿,﻿K111,﻿160,﻿1278,﻿1082,﻿3
﻿1063075335,﻿1063,﻿문산,﻿Munsan,﻿1063075335,﻿1063075334,﻿413905,﻿경기도 파주시 문산읍 문산역로 94,﻿,﻿031-952-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿181285.1,﻿483886.4,﻿,﻿K335,﻿234,﻿344,﻿206,﻿3
﻿1063075334,﻿1063,﻿파주,﻿Paju,﻿1063075335,﻿1063075333,﻿413861,﻿경기도 파주시 파주읍 주라위길 38,﻿,﻿031-960-3209,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿181747.0,﻿479538.9,﻿,﻿K334,﻿233,﻿344,﻿252,﻿0
﻿1063075333,﻿1063,﻿월롱,﻿Wollong,﻿1063075334,﻿1063075331,﻿413812,﻿경기도 파주시 월롱면 통일로 980,﻿,﻿031-960-3419,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿181719.0,﻿477381.1,﻿,﻿K333,﻿232,﻿344,﻿297,﻿0
﻿1063075112,﻿1063,﻿서빙고,﻿Seobinggo,﻿1063075111,﻿1063075113,﻿140240,﻿서울특별시 용산구 서빙고로 238,﻿,﻿02-795-0778,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿198966.9,﻿446679.1,﻿,﻿K112,﻿161,﻿1369,﻿1098,﻿0
﻿1063075113,﻿1063,﻿한남,﻿Hannam,﻿1063075112,﻿1063075114,﻿140888,﻿서울특별시 용산구 독서당로6길 12-13,﻿,﻿02-798-5710,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿200809.7,﻿447767.0,﻿,﻿K113,﻿162,﻿1473,﻿1048,﻿0
